CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,"3,280.00","3,500",0.30,2.95,175,-,-,-,-,-,3,
,1,-,-,-,-,-,-,-,-,-,"3,320.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,525,520.25,557.70,525,"3,400.00","1,575",1.55,2.20,700,0.45,1.80,-,10,-1,52,
,-,-,-,-,-,-,525,480.55,517.00,525,"3,440.00",875,0.65,3.50,525,-,-,-,-,-,45,
,-,-,-,-,-,-,525,442.05,477.55,525,"3,480.00",175,1.25,4.00,175,-,-,-,-,-,32,
,28,-,-,-,-,-,875,420.70,450.25,525,"3,500.00","4,200",2.60,2.85,525,-0.50,2.60,-,269,201,541,
,2,-,-,-,-,-,"7,000",349.00,495.10,"7,000","3,520.00",175,2.00,4.50,175,-,-,-,-,-,25,
,-,-,-,-,-,-,-,-,-,-,"3,540.00","2,800",1.25,5.90,700,-,-,-,-,-,10,
,-,-,-,-,-,-,"7,000",311.00,395.10,525,"3,560.00",350,2.90,5.00,175,-,-,-,-,-,349,
,-,-,-,-,-,-,-,-,-,-,"3,580.00","3,850",1.50,4.50,700,-2.05,3.30,18.33,7,-,330,
,76,-,1,-,344.80,39.80,175,327.30,343.20,175,"3,600.00",350,4.35,4.50,525,-1.70,4.45,18.52,"2,152","1,343","2,013",
,-,-,-,-,-,-,-,-,-,-,"3,620.00",875,5.10,17.80,525,0.05,6.70,-,10,4,42,
,2,1,2,-,290.00,5.00,525,289.10,312.55,525,"3,640.00","2,100",5.20,8.00,"4,375",-1.80,6.60,-,225,76,205,
,-,-,-,-,-,-,525,267.20,300.00,525,"3,660.00",525,5.05,11.00,"4,725",-2.85,8.15,-,2,1,75,
,-,-,-,-,-,-,525,248.90,278.70,525,"3,680.00",350,6.90,10.80,175,-1.45,10.95,-,8,-1,469,
,280,1,3,-,245.00,14.20,175,237.15,251.10,175,"3,700.00",175,11.40,12.05,175,-3.30,11.50,17.78,807,226,717,
,13,-,-,-,-,-,"7,000",158.75,292.35,"7,000","3,720.00",525,12.10,17.80,350,-2.15,13.95,17.67,36,6,105,
,11,-,-,-,-,-,525,197.60,234.10,525,"3,740.00","1,575",14.05,18.95,350,-3.65,17.00,17.67,45,22,80,
,19,-,-,-,-,-,-,-,255.95,"7,000","3,760.00",175,18.00,24.20,350,-3.80,20.00,-,34,-6,69,
,11,-,-,-,-,-,525,158.05,199.55,525,"3,780.00","7,000",8.35,38.25,525,-,-,-,-,-,60,
,588,3,38,13.81,158.00,9.20,350,158.05,170.95,"2,800","3,800.00",175,28.00,28.55,175,-4.90,28.00,17.29,493,-18,477,
